,city,lat,lon,max_temp,humidity,cloudiness,wind speed,country,date
129,Salalah,17.02,54.09,84.2,89,90,11.41,OM,1593692871
130,Mandera,3.94,41.87,91.85,33,66,21.7,KE,1593692919
131,Rome,43.21,-75.46,69.8,77,1,4.5,US,1593692919
132,Atar,20.52,-13.05,106.79,15,9,12.1,MR,1593692920
133,Youghal,51.95,-7.85,63.0,63,75,10.29,IE,1593692920
134,Yeppoon,-23.13,150.73,59.0,87,0,4.72,AU,1593692921
135,Kalianget,-7.05,113.93,80.22,75,60,8.72,ID,1593692922
136,Provideniya,64.38,-173.3,44.13,96,100,8.75,RU,1593692922
137,Petropavlovsk-Kamchatskiy,53.05,158.65,48.2,100,90,4.47,RU,1593692923
138,Hilo,19.73,-155.09,73.4,73,90,3.96,US,1593692923
139,Carnarvon,-24.87,113.63,66.2,77,0,12.75,AU,1593692924
140,Fortuna,40.6,-124.16,50.0,93,90,4.7,US,1593692924
141,Elblag,54.15,19.41,71.01,60,20,13.87,PL,1593692925
142,Kiunga,-6.12,141.29,73.78,97,100,3.78,PG,1593692925
143,Margate,51.38,1.39,68.0,70,52,5.01,GB,1593692926
144,Swan Hill,-35.34,143.55,45.59,80,43,5.32,AU,1593692927
145,Lehigh Acres,26.63,-81.62,84.0,88,1,2.28,US,1593692928
146,Ilulissat,69.22,-51.1,50.0,57,20,3.36,GL,1593692929
147,Dunedin,-45.87,170.5,39.99,86,50,2.66,NZ,1593692930
148,Bengkulu,-3.8,102.27,79.97,76,100,8.48,ID,1593692729
149,Saint George,37.1,-113.58,71.6,15,1,12.75,US,1593692464
150,Nuuk,64.18,-51.72,39.2,93,75,2.24,GL,1593692512
151,Khani,41.96,42.96,93.2,46,5,13.87,GE,1593692932
152,Dolisie,-4.2,12.67,82.92,54,36,5.75,CG,1593692932
153,Baykit,61.67,96.37,82.18,36,35,8.63,RU,1593692933
154,Kalmunai,7.42,81.82,86.76,71,100,13.06,LK,1593692933
155,Esperance,-33.87,121.9,50.0,100,40,5.82,AU,1593692934
156,Sørland,67.67,12.69,51.8,57,40,12.75,NO,1593692935
157,Port Alfred,-33.59,26.89,64.99,78,0,3.0,ZA,1593692495
158,Jiangdu,32.43,119.56,73.99,96,100,1.99,CN,1593692936
159,Lorengau,-2.02,147.27,82.6,76,76,10.22,PG,1593692936
160,Gantt,34.8,-82.42,78.8,83,1,4.05,US,1593692838
161,Abu Samrah,35.3,37.18,99.03,16,0,1.68,SY,1593692937
162,Bonfim,3.08,-59.95,78.51,78,10,5.23,BR,1593692938
163,Ponta Delgada,37.73,-25.67,69.8,73,75,6.93,PT,1593692939
164,Soure,-0.72,-48.52,81.52,78,35,6.55,BR,1593692939
165,Kigorobya,1.62,31.31,76.3,66,80,3.83,UG,1593692940
166,Kaspi,41.93,44.43,87.8,33,0,11.41,GE,1593692940
167,Khorol,49.78,33.28,80.13,57,33,4.9,UA,1593692941
168,Fereydūnkenār,36.69,52.52,84.2,48,75,4.7,IR,1593692941
169,Praxédis Guerrero,31.37,-106.02,75.2,47,75,6.93,MX,1593692942
170,Daru,-9.08,143.21,77.94,82,95,19.33,PG,1593692942
171,Korla,41.76,86.15,94.41,10,2,8.61,CN,1593692943
172,Chokwé,-24.53,32.98,79.72,33,0,7.07,MZ,1593692943
173,Pestovo,58.59,35.8,73.51,45,25,9.57,RU,1593692944
174,Ilhabela,-23.78,-45.36,64.85,72,41,4.05,BR,1593692944
175,Point Pedro,9.82,80.23,83.41,81,100,14.72,LK,1593692945
176,Raudeberg,61.99,5.14,53.01,82,100,9.91,NO,1593692946
177,Airai,-8.93,125.41,54.05,78,18,3.33,TL,1593692946
178,Nanortalik,60.14,-45.24,41.25,81,100,10.22,GL,1593692947
179,Roald,62.58,6.13,53.6,62,75,11.41,NO,1593692303
180,Zharkovskiy,55.85,32.27,65.19,95,98,4.21,RU,1593692948
181,Kampot,10.62,104.18,80.6,88,75,3.36,KH,1593692885
182,Pevek,69.7,170.31,38.32,90,100,7.58,RU,1593692496
183,Saskylakh,71.92,114.08,61.39,72,99,18.03,RU,1593692503
184,Visby,57.64,18.3,70.0,82,90,10.29,SE,1593692944
185,Yenagoa,4.92,6.26,83.34,77,100,5.03,NG,1593692739
186,Yellowknife,62.46,-114.35,62.6,63,90,13.87,CA,1593692486
187,Stornoway,58.21,-6.39,54.0,58,90,4.7,GB,1593692952
188,Hokitika,-42.72,170.97,41.54,67,0,5.53,NZ,1593692953
189,Gornyak,50.99,81.47,76.41,49,61,2.44,RU,1593692953
190,Kayalpattinam,8.57,78.12,90.14,58,100,8.46,IN,1593692954
191,Broken Hill,-31.95,141.43,46.4,52,14,8.05,AU,1593692955
192,Cidreira,-30.18,-50.21,49.8,81,80,14.88,BR,1593692955
193,Narsaq,60.92,-46.05,48.2,66,75,4.7,GL,1593692498
194,Dicabisagan,17.08,122.42,81.37,78,41,5.97,PH,1593692956
195,Coquimbo,-29.95,-71.34,51.8,76,24,9.17,CL,1593692487
196,Vysokogornyy,50.12,139.15,43.75,83,36,1.66,RU,1593692957
197,Mīzan Teferī,6.98,35.58,69.19,84,100,2.91,ET,1593692958
198,Neuquén,-38.95,-68.06,37.4,93,90,8.05,AR,1593692958
199,Hong Kong,22.29,114.16,86.0,79,100,8.99,HK,1593692406
200,Aramecina,13.74,-87.71,71.73,82,93,5.12,HN,1593692959
201,Oranjemund,-28.55,16.43,62.49,66,0,18.01,NA,1593692960
202,São Filipe,14.9,-24.5,75.2,81,94,8.32,CV,1593692504
203,Chokurdakh,70.63,147.92,41.29,79,67,17.36,RU,1593692477
204,Sozopol,42.42,27.7,82.4,65,3,16.11,BG,1593692963
205,Tashtyp,52.79,89.9,72.19,81,36,5.01,RU,1593692963
206,Yelovo,57.05,54.92,60.06,86,98,13.44,RU,1593692964
207,Ol'ga,43.74,135.29,53.1,93,55,3.31,RU,1593692964
208,Palmer,42.16,-72.33,70.0,100,90,2.06,US,1593692966
209,Mocuba,-16.84,36.99,75.74,58,67,6.2,MZ,1593692967
210,Cayenne,4.93,-52.33,82.4,83,20,2.24,GF,1593692967
